"year","Ring","Treat","GPP.g.C.m-2.yr-1","Rfoliage.g.C.m-2.yr-1"
2013,"R1","E",1013.21767506769,360.875081925256
2013,"R2","A",1081.92526064005,336.563312316066
2013,"R3","A",1132.52014625591,454.288387607858
2013,"R4","E",937.459876523047,297.359832406197
2013,"R5","E",1583.78561220359,516.161446579361
2013,"R6","A",1031.4374689339,388.777352825921
2014,"R1","E",1395.6185155036,563.771720173898
2014,"R2","A",1405.87981742101,531.305062740303
2014,"R3","A",1132.02679995328,517.440740632779
2014,"R4","E",1233.41092580297,470.761776779069
2014,"R5","E",1858.15612637418,641.645867746929
2014,"R6","A",1106.33302313987,472.536509729768
2015,"R1","E",1162.13232367608,462.145921642958
2015,"R2","A",1085.81577057807,401.819747266582
2015,"R3","A",1073.37346432448,465.134520839378
2015,"R4","E",873.01565187519,309.579744251271
2015,"R5","E",1597.70866630483,528.135307428894
2015,"R6","A",1232.83656724062,519.473256310043
2016,"R1","E",1187.21860999329,477.245106836747
2016,"R2","A",1106.04030190532,411.699541798356
2016,"R3","A",1124.02753174412,489.099183754531
2016,"R4","E",883.122463591762,306.506727439569
2016,"R5","E",1648.81359742203,545.156130118589
2016,"R6","A",1283.1399294857,542.797284572037
