"","year","Ring","Species","GPP.sum","Ra.sum","Trans.sum","c.treat"
"1",2015,"R1",1,946.325307796632,207.979049522349,200.072992205562,"E"
"2",2015,"R1",2,716.013056469833,185.061688674267,143.122001561692,"E"
"3",2015,"R2",1,1081.44152658297,278.480233177371,280.191042779812,"A"
"4",2015,"R2",2,615.073702324842,189.10550072784,160.360291604228,"A"
"5",2015,"R3",1,930.815074430024,248.45413271135,242.258701767851,"A"
"6",2015,"R3",2,680.901004920452,182.919634467364,176.685933353395,"A"
"7",2015,"R4",1,884.032786270526,224.117777559565,184.202804189432,"E"
"8",2015,"R4",2,673.082733925982,187.038075878033,135.682077153411,"E"
"9",2015,"R5",1,1450.87205953059,298.847791882629,305.481666816716,"E"
"10",2015,"R5",2,651.458523237059,176.301070480005,128.945580045049,"E"
"11",2015,"R6",1,1138.68494233724,352.72255315908,280.827501863237,"A"
"12",2015,"R6",2,603.784185932743,192.893023717621,155.016637804269,"A"
"13",2016,"R1",1,1217.7385187951,248.751777410427,250.570949542202,"E"
"14",2016,"R1",2,663.694667358441,198.57375816281,138.480543607588,"E"
"15",2016,"R2",1,1408.67389332069,466.840014819917,291.79098817468,"A"
"16",2016,"R2",2,589.71235470743,203.3684205589,136.000013238059,"A"
"17",2016,"R3",1,1095.85460719298,335.218820249224,266.940403201306,"A"
"18",2016,"R3",2,531.657838507949,197.151008922901,136.533858990621,"A"
"19",2016,"R4",1,1110.09329839596,291.196527543017,235.391876331501,"E"
"20",2016,"R4",2,628.173342430308,201.930746914343,129.943063315103,"E"
"21",2016,"R5",1,1613.76008474139,388.202994263573,307.660341597566,"E"
"22",2016,"R5",2,539.860657995241,192.210180256821,106.326127649755,"E"
"23",2016,"R6",1,1161.07342433208,412.224822171072,257.063660394926,"A"
"24",2016,"R6",2,651.406281709243,206.084420187385,156.673646224826,"A"
