"","year","Ring","Species","GPP.sum","Ra.sum","Trans.sum","LAI.sum","c.treat","LAI.mean"
"1",2013,"R1",1,1690.95026188384,432.949767197157,305.456960194541,584.821147218765,"E",1.60115303824439
"2",2013,"R1",2,582.335934096846,208.995908737483,105.039407103798,585.008979848482,"E",0.766168253599332
"3",2013,"R2",1,1536.82313599859,537.831819026345,319.222649429708,604.556807750319,"A",1.65518633196528
"4",2013,"R2",2,556.464440748678,217.924310975739,120.745170775769,604.765198865942,"A",0.814186275014493
"5",2013,"R3",1,1562.70671799229,552.305235300744,345.051154140145,597.581811085327,"A",1.63608983185579
"6",2013,"R3",2,526.795257236457,199.311079978658,115.919269130463,597.656299739076,"A",0.726662753096766
"7",2013,"R4",1,1470.96465227583,473.265277820495,266.031342522132,577.452417350223,"E",1.58097855537364
"8",2013,"R4",2,550.416653955476,184.705524663405,102.73221263479,577.61931983449,"E",0.660885337719212
"9",2013,"R5",1,1994.73601733799,530.686258543082,331.717911923865,703.69126826385,"E",1.92660169271417
"10",2013,"R5",2,557.059896380987,189.070219973069,97.2352378040309,703.969042222192,"E",0.705403024751965
"11",2013,"R6",1,1278.32378621432,550.693360484888,271.84350469956,647.873067704699,"A",1.773779788377
"12",2013,"R6",2,510.435660233557,202.874208860822,115.711687874384,647.958111896176,"A",0.753093491931789
"13",2014,"R1",1,1610.13666664262,531.448887064403,164.775745023114,566.883611999372,"E",1.55204274332477
"14",2014,"R1",2,461.638604337457,172.539492241497,66.7778884909096,566.833262178644,"E",0.583790135000891
"15",2014,"R2",1,1391.06417880318,666.463607676041,159.443663793532,645.294103264793,"A",1.76671896855522
"16",2014,"R2",2,404.598514956283,173.811247087064,67.5144732232923,645.521400394832,"A",0.536803277650303
"17",2014,"R3",1,1411.192986148,581.366996766119,242.778155821671,594.096776058629,"A",1.62654832596476
"18",2014,"R3",2,378.643652734783,144.364277081487,74.7197413126401,594.095002071307,"A",0.475317230141849
"19",2014,"R4",1,1410.38905821765,580.582466894882,161.312022593726,563.921220773348,"E",1.54393215817481
"20",2014,"R4",2,439.803476730567,151.643814959788,68.7713628215692,563.840208175664,"E",0.521835760535257
"21",2014,"R5",1,1822.57325080556,589.021348660698,172.219889590997,704.16637313387,"E",1.92790245895652
"22",2014,"R5",2,429.976527547731,150.33085115613,59.1647416479189,704.111644968064,"E",0.506954549775388
"23",2014,"R6",1,1156.35111779655,620.890687661601,149.963981681578,703.098885835664,"A",1.92497983801688
"24",2014,"R6",2,412.609089532603,172.026943449355,73.2163785195157,703.220157405236,"A",0.584885871335596
"25",2015,"R1",1,1667.49400901929,442.25068795358,329.630867047124,582.241166881127,"E",1.59408943704621
"26",2015,"R1",2,517.010937335888,150.354040820747,97.7981094481505,582.788612335196,"E",0.632234664806146
"27",2015,"R2",1,1649.51764062682,559.718826357302,349.885433238808,611.059137889209,"A",1.67298874165423
"28",2015,"R2",2,488.290620824803,153.487569309475,113.620353349721,611.216234970174,"A",0.668898582994312
"29",2015,"R3",1,1544.71509272687,518.826106744782,366.529459233792,617.382263322628,"A",1.69030051559926
"30",2015,"R3",2,384.757319590368,107.718634780137,92.2456784522644,617.763265209628,"A",0.519143498102523
"31",2015,"R4",1,1451.72579659193,481.220537981752,276.69054495992,591.538406250904,"E",1.61954389117291
"32",2015,"R4",2,651.466490253397,194.258473511088,122.751509371193,591.88986620299,"E",0.897246228238831
"33",2015,"R5",1,2059.6238304945,521.826968154751,367.394445868878,698.229010469451,"E",1.91164684591226
"34",2015,"R5",2,554.447064602615,152.043390531295,103.103116458272,698.715759823551,"E",0.722647799767756
"35",2015,"R6",1,1375.15748675547,610.891537006564,293.34971312385,673.879949778287,"A",1.84498275093302
"36",2015,"R6",2,690.167644771655,248.31524407488,155.039296347094,674.192957374667,"A",1.0374570233369
"37",2016,"R1",1,1812.22130482591,500.13305890712,313.697183602455,606.137840002316,"E",1.65951496236089
"38",2016,"R1",2,525.059271511584,192.028909244697,95.8235173239068,606.135932149595,"E",0.594585493456886
"39",2016,"R2",1,1765.90964267145,769.294386259273,322.048771795768,624.221247052633,"A",1.70902463258763
"40",2016,"R2",2,485.054589422583,199.925647649548,101.88339970903,624.217072320854,"A",0.606717444662677
"41",2016,"R3",1,1513.10454363594,626.629846078399,306.496638496802,597.473104631607,"A",1.6357922098059
"42",2016,"R3",2,506.138888688534,189.767188447801,111.187666785883,597.4414914712,"A",0.685386789967629
"43",2016,"R4",1,1586.21141833453,568.772999401505,280.517845372588,589.129712426493,"E",1.61294924688978
"44",2016,"R4",2,580.074245080008,210.06480168774,111.508796223758,589.097644882107,"E",0.530028117299863
"45",2016,"R5",1,1956.74041191041,631.305761061589,307.220497303017,717.094668761443,"E",1.96329820331675
"46",2016,"R5",2,718.172851283539,257.030238327466,117.41814931448,716.995944101155,"E",1.02046853705221
"47",2016,"R6",1,1372.84783918493,688.056884144422,269.017210996201,663.721948060365,"A",1.81717165793392
"48",2016,"R6",2,669.007342272208,305.342655657118,145.050998096961,663.85185471803,"A",1.12368283515748
