"year.e","Ring.e","GPP.e","Ra.e","Trans.e","soil.e.e","VPD.e","PAR.e","LAI.e","TAIR.e","PPT.e","APAR.e","volRing.e","GPP","Trans"
2013,"R1",1236.50229193184,215.01384427677,278.226051143717,127.568,269.377244972282,2514.37162555799,521.280387586991,6486.22672569444,866,911.14172177898,347.731196844466,1074.19360741879,309.398830802702
2013,"R2",1403.75102772182,240.742874954136,310.197111839479,127.1283,270.21902652875,2530.54034599562,533.732397697113,6492.73615277778,866,968.295561158771,280.001913410985,1222.89789648255,344.900577681692
2013,"R3",1480.98778709696,263.088524763249,328.913728872668,126.9923,270.953701696361,2519.11533669584,573.38985457856,6501.80698263889,1282,1023.60913547638,421.94114850513,1310.46693731464,371.33745055578
2013,"R4",1112.67704408645,209.068846417592,251.530646038485,128.3758,269.363623293128,2514.19584,516.228109369486,6486.14123958333,866,780.921099671103,235.609390864153,957.466516431687,278.14848106286
2013,"R5",1884.87789275725,350.309058134085,429.462623406965,122.9818,269.776476608136,2524.02710284464,655.018958495328,6487.49099652778,848,1326.3988046695,452.349874842673,1619.50062681307,474.518246886457
2013,"R6",1476.72348743841,299.715761521177,330.832468326656,127.9405,271.936131487041,2492.75090428884,605.800698287261,6505.45130555556,866,894.857066229655,341.381459050916,1316.44253937067,376.637661221606
2014,"R1",1705.55537227826,331.579930150937,365.744499782941,150.8874,259.369360111512,2545.67218207877,648.549739480256,6499.91431597222,651.2,1206.61513001328,412.31200196763,1497.05570671802,410.074742856327
2014,"R2",1847.85546852059,371.414760047487,392.371305712938,150.3564,259.365608766641,2547.69843774617,675.589608919148,6499.54657291667,651.2,1249.89037946506,65415.5260672582,1645.73164796912,445.511859942015
2014,"R3",1494.96673498818,299.212331161358,324.357873281,152.1034,259.51629182509,2541.59501501094,621.848256245843,6503.20539236111,767.8,1084.24480545808,347.821975957998,1337.6806834578,370.616539524831
2014,"R4",1468.82513313979,323.625902078123,316.89576921627,153.11,259.375521225355,2547.81108544858,638.843627815227,6499.56792708333,651.2,1004.78028716837,225.437076816205,1296.42712572112,358.303930270019
2014,"R5",2244.02308583973,429.624499833782,486.653638934804,147.5278,259.375867169365,2547.69849223195,752.641351990714,6499.56601736111,651.2,1489.37095149286,295.028714674157,1976.02816488206,547.858278788481
2014,"R6",1639.66642370198,377.990164270054,354.690604049998,153.3157,259.375867169365,2547.69849223195,692.335130408157,6499.56601736111,651.2,965.866609005702,267.335093556773,1475.62947112917,406.957224045373
2015,"R1",1158.58513616045,234.667488401971,257.72852514172,168.0068,251.640378018703,2483.71915562363,548.633427505874,6315.54368055556,1064.8,989.219083476309,312.70893393918,997.289357912121,283.016412413172
2015,"R2",1470.90489843098,271.982694988683,322.16817875979,166.1956,250.921763399348,2481.55618109409,568.212216870011,6307.67938194444,1060.4,1068.64274564807,340677.094055407,1272.22829266327,354.431150007683
2015,"R3",1284.80521191308,243.821929977055,281.733594954723,168.2092,251.212665290625,2485.34490426696,557.566851263137,6313.76024305556,1065,981.182050982249,315.017288634584,1131.35229998029,315.603177702879
2015,"R4",1092.75716862822,228.567340294577,245.250100727579,168.1486,247.854786880653,2435.99582993435,532.975922252642,6275.69083333333,1064,837.914703178358,179.096899001055,937.841982840564,269.509367686876
2015,"R5",1721.40814334427,350.820323500766,384.135745246409,163.3315,251.206059326784,2485.25215371991,655.101257922453,6313.71152777778,1065,1346.05971889065,1045671.31246337,1473.60520848878,420.50082340566
2015,"R6",1648.48221941259,374.046124489517,358.682665962694,167.8195,251.20812065534,2485.30191301969,685.310952987643,6313.72743055556,1065,1033.18009607996,17720.8526829082,1478.12680194991,408.970421724828
2016,"R1",1579.60040577812,278.721964529502,370.989210482163,153.457,301.485693123585,2652.24753328228,586.446648752173,6668.76755555556,864.2,1121.20909072508,1442.19687011675,1377.43883051652,413.207477493847
2016,"R2",2355.39409035243,454.612847342902,544.920386254255,151.9722,305.330425036484,2687.40011199125,724.620784393972,6691.43286805556,867.8,1535.24817086925,826629.863236147,2074.44462970499,611.913404493761
2016,"R3",1602.07761525317,324.721861860199,370.853575061551,152.9639,302.326458628168,2671.42232691466,632.086229112729,6674.13557638889,864.4,1196.25575116675,11.2505646855342,1404.87290291973,414.489192596166
2016,"R4",1417.39780554676,294.503144900977,336.207889161939,151.5133,302.124197294492,2669.1644597593,596.148037809509,6675.22894097222,858,993.139913220396,145.261531057727,1223.93775468195,371.683839354173
2016,"R5",2071.40134925007,446.613808928013,490.509147223977,152.0345,303.45473003281,2683.43404483589,754.911261465315,6683.57446527778,867.8,1575.34150058088,1244736.36158535,1764.42169541812,535.684972434208
2016,"R6",1931.66760278285,434.789250795833,455.694171290601,154.7556,303.496680774046,2683.99390260394,722.799752881761,6683.79932638889,867.8,1155.8108142158,18080.2112378959,1715.80111663447,516.49115652439
